1032	1471
1033	1951
1034	792
1035	2522
1036	2455
1037	2138
1038	1636
1039	2101
1040	482
1041	2129
1042	2530
1043	2113
1044	1695
1045	2070
1046	534
1047	2266
1048	2451
1049	2448
1050	1108
1051	1179
1052	410
1053	2244
1054	2304
1055	1195
1056	1287
1057	499
1058	2391
1059	2390
1060	2163
1061	1578
1062	1822
1063	611
1064	2271
1065	2371
1066	2174
1067	1507
1068	1713
1069	583
1070	2241
1071	2223
1072	2282
1073	1665
1074	1996
1075	352
1076	2198
1077	2510
1078	2102
1079	1395
1080	1398
1081	449
1082	2033
1083	1964
1084	2027
1085	1290
1086	904
1087	146
1088	1846
1089	2278
1090	2042
1091	1739
1092	1850
1093	460
1094	101
1095	2138
1096	2469
1097	2098
1098	1650
1099	1706
1100	463
1101	2287
1102	2394
1103	2185
1104	1504
1105	1893
1106	416
1107	2051
1108	2433
1109	2309
1110	1628
1111	1883
1112	470
1113	1975
1114	2328
1115	2147
1116	1659
1117	1902
1118	525
1119	2061
1120	2233
1121	2041
1122	1559
1123	1921
1124	423
1125	2392
1126	2295
1127	2082
1128	1721
1129	1944
1130	479
1131	2121
1132	2471
1133	2155
1134	1702
1135	2098
1136	367
1137	1859
1138	2469
1139	2148
1140	1361
1141	1829
1142	405
1143	2173
1144	2429
1145	2172
1146	1544
1147	1947
1148	523
1149	200
1150	2296
1151	2473
1152	2089
1153	1373
1154	1891
1155	453
1156	2331
1157	2485
1158	2130
1159	1568
1160	1701
1161	343
1162	211
1163	2322
1164	2311
1165	2087
1166	1544
1167	1859
1168	789
1169	2472
1170	2600
1171	2138
1172	1522
1173	317
1174	200
1175	1836
1176	2313
1177	2014
1178	1618
1179	1791
1180	359
1181	2409
1182	2492
1183	2307
1184	1656
1185	1919
1186	1875
1187	1409
1188	1568
1189	2620
1190	2200
1191	2002
1192	2086
1193	2134
1194	1551
1195	1378
1196	259
1197	763
1198	2232
1199	2486
1200	1994
1201	1716
1202	1848
1203	239
1204	200
1205	2396
1206	2504
1207	2102
1208	1620
1209	1876
1210	311
1211	2142
1212	2462
1213	2182
1214	1729
1215	1918
1216	364
1217	33
1218	2241
1219	2469
1220	2091
1221	1690
1222	1899
1223	240
1224	200
1225	2355
1226	2422
1227	2067
1228	1603
1229	1916
1230	404
1231	2392
1232	2365
1233	2089
1234	1615
1235	1898
1236	422
1237	45
1238	2407
1239	2176
1240	2112
1241	1570
1242	2084
1243	331
1244	200
1245	2076
1246	2576
1247	2136
1248	1544
1249	2039
1250	267
1251	2351
1252	2500
1253	2139
1254	1619
1255	2091
1256	331
1257	2305
1258	2357
1259	2140
1260	1524
1261	1978
1262	390
1263	2363
1264	2325
1265	2171
1266	1211
1267	1594
1268	243
1269	200
1270	3712
1271	6349
1272	5875
1273	5444
1274	3557
1275	766
1276	2200
1277	4495
1278	4213
1279	3576
1280	2720
1281	3182
1282	604
1283	3884
1284	3909
1285	3320
1286	2556
1287	3224
1288	565
1289	200
1290	3965
1291	4050
1292	3186
1293	2844
1294	1156
1295	1637
1296	475
1297	200
1298	1592
1299	1979
1300	2387
1301	1584
1302	2136
1303	735
1304	3109
1305	3140
1306	2711
1307	1838
1308	2412
1309	478
1310	170
1311	2770
1312	3045
1313	2654
1314	1783
1315	2111
1316	457
1317	3107
1318	3074
1319	2597
1320	1563
1321	2050
1322	444
1323	2132
1324	2427
1325	2287
1326	1584
1327	1990
1328	538
1329	2628
1330	2466
1331	2176
1332	1544
1333	2114
1334	488
1335	200
1336	2512
1337	2634
1338	2227
1339	1658
1340	2132
1341	430
1342	2632
1343	2715
1344	2450
1345	1710
1346	1899
1347	465
1348	290
1349	2184
1350	1283
1351	1843
1352	421
1353	264
1354	2392
1355	2678
1356	2386
1357	1654
1358	1956
1359	360
1360	60
1361	2406
1362	2520
1363	2335
1364	1742
1365	1817
1366	443
1367	204
1368	2472
1369	2615
1370	2279
1371	1366
1372	1556
1373	362
1374	223
1375	1578
1376	2287
1377	2202
1378	1331
1379	1500
1380	404
1381	298
1382	2212
1383	2363
1384	2176
1385	1645
