1250	1	598
1250	2	644
1250	3	374
1250	4	830
1250	5	973
1250	6	607
1250	7	605
1250	8	1207
1250	9	856
1250	10	644
1251	1	278
1251	2	373
1251	3	248
1251	4	414
1251	5	424
1251	6	295
1251	7	308
1251	8	524
1251	9	630
1251	10	276
1252	1	393
1252	2	381
1252	3	306
1252	4	535
1252	5	439
1252	6	366
1252	7	364
1252	8	1156
1252	9	864
1252	10	376
1253	1	182
1253	2	184
1253	3	154
1253	4	197
1253	5	253
1253	6	148
1253	7	170
1253	8	373
1253	9	433
1253	10	171
1254	4	21
1255	1	500
1255	2	524
1255	3	343
1255	4	621
1255	5	707
1255	6	462
1255	7	421
1255	8	908
1255	9	1117
1255	10	508
1256	1	546
1256	2	583
1256	3	410
1256	4	687
1256	5	682
1256	6	594
1256	7	465
1256	8	1052
1256	9	1102
1256	10	616
1257	1	384
1257	2	409
1257	3	308
1257	4	576
1257	5	625
1257	6	430
1257	7	434
1257	8	744
1257	9	1098
1257	10	381
1258	1	273
1258	2	249
1258	3	219
1258	4	340
1258	5	572
1258	6	280
1258	7	288
1258	8	465
1258	9	577
1258	10	261
1259	1	267
1259	2	365
1259	3	219
1259	4	398
1259	5	494
1259	6	297
1259	7	327
1259	8	568
1259	9	712
1259	10	282
1260	1	81
1260	2	83
1260	3	106
1260	4	85
1260	5	154
1260	6	52
1260	7	108
1260	8	228
1260	9	162
1260	10	76
1261	1	403
1261	2	318
1261	3	367
1261	4	579
1261	5	600
1261	6	334
1261	7	380
1261	8	469
1261	9	805
1261	10	382
1262	1	384
1262	2	376
1262	3	403
1262	4	629
1262	5	602
1262	6	356
1262	7	417
1262	8	543
1262	9	848
1262	10	358
1263	1	339
1263	2	410
1263	3	251
1263	4	497
1263	5	511
1263	6	347
1263	7	378
1263	8	514
1263	9	894
1263	10	351
1264	1	254
1264	2	203
1264	3	148
1264	4	276
1264	5	335
1264	6	225
1264	7	267
1264	8	273
1264	9	486
1264	10	217
1265	1	359
1265	2	423
1265	3	283
1265	4	448
1265	5	546
1265	6	310
1265	7	383
1265	8	585
1265	9	913
1265	10	335
1266	1	154
1266	2	104
1266	3	183
1266	4	115
1266	5	166
1266	6	93
1266	7	186
1266	8	225
1266	9	296
1266	10	95
1267	6	3
1267	9	19
1268	1	335
1268	2	439
1268	3	385
1268	4	426
1268	5	617
1268	6	267
1268	7	305
1268	8	496
1268	9	822
1268	10	316
1269	1	475
1269	2	314
1269	3	388
1269	4	599
1269	5	796
1269	6	519
1269	7	409
1269	8	813
1269	9	671
1269	10	438
1270	1	321
1270	2	227
1270	3	236
1270	4	445
1270	5	484
1270	6	333
1270	7	341
1270	8	476
1270	9	396
1270	10	297
1271	1	239
1271	2	201
1271	3	180
1271	4	272
1271	5	295
1271	6	251
1271	7	260
1271	8	347
1271	9	301
1271	10	213
1272	1	260
1272	2	225
1272	3	240
1272	4	335
1272	5	385
1272	6	267
1272	7	295
1272	8	391
1272	9	389
1272	10	252
1273	1	174
1273	2	156
1273	3	189
1273	4	147
1273	5	282
1273	6	110
1273	7	189
1273	8	155
1273	9	205
1273	10	146
1274	1	290
1274	2	313
1274	3	326
1274	4	403
1274	5	492
1274	6	287
1274	7	309
1274	8	500
1274	9	399
1274	10	299
1275	1	365
1275	2	287
1275	3	371
1275	4	513
1275	5	592
1275	6	429
1275	7	423
1275	8	820
1275	9	458
1275	10	353
1276	1	307
1276	2	299
1276	3	240
1276	4	397
1276	5	502
1276	6	294
1276	7	339
1276	8	496
1276	9	410
1276	10	296
1277	1	261
1277	2	162
1277	3	246
1277	4	328
1277	5	470
1277	6	233
1277	7	290
1277	8	372
1277	9	352
1277	10	243
1278	1	336
1278	2	327
1278	3	293
1278	4	453
1278	5	512
1278	6	337
1278	7	378
1278	8	559
1278	9	421
1278	10	347
1279	2	76
1279	3	162
1279	4	86
1279	5	184
1279	6	64
1279	7	111
1279	8	159
1279	9	110
1280	1	36
1281	1	368
1281	2	319
1281	3	356
1281	4	442
1281	5	491
1281	6	283
1281	7	331
1281	8	569
1281	9	438
1281	10	316
1282	1	318
1282	2	350
1282	3	403
1282	4	433
1282	5	493
1282	6	291
1282	7	336
1282	8	533
1282	9	531
1282	10	295
1283	1	353
1283	2	324
1283	3	332
1283	4	484
1283	5	596
1283	6	330
1283	7	423
1283	8	664
1283	9	559
1283	10	350
1284	1	263
1284	2	211
1284	3	229
1284	4	343
1284	5	399
1284	6	276
1284	7	305
1284	8	385
1284	9	402
1284	10	257
1285	1	264
1285	2	255
1285	3	242
1285	4	361
1285	5	478
1285	6	292
1285	7	337
1285	8	465
1285	9	446
1285	10	265
1286	1	41
1286	2	39
1286	4	29
1286	5	61
1286	6	27
1286	7	52
1286	8	97
1286	9	47
1286	10	40
1287	9	10
1288	1	406
1288	2	297
1288	3	380
1288	4	544
1288	5	726
1288	6	340
1288	7	393
1288	8	618
1288	9	617
1288	10	380
1289	1	344
1289	2	394
1289	3	335
1289	4	528
1289	5	778
1289	6	300
1289	7	389
1289	8	573
1289	9	597
1289	10	344
1290	1	263
1290	2	309
1290	3	242
1290	4	428
1290	5	495
1290	6	240
1290	7	345
1290	8	434
1290	9	569
1290	10	266
1291	1	258
1291	2	209
1291	3	221
1291	4	346
1291	5	380
1291	6	196
1291	7	299
1291	8	466
1291	9	435
1291	10	249
1292	1	340
1292	2	361
1292	3	280
1292	4	439
1292	5	437
1292	6	259
1292	7	375
1292	8	563
1292	9	639
1292	10	318
1293	3	119
1293	4	69
1293	5	49
1293	6	40
1293	7	69
1293	8	112
1293	9	121
1293	10	58
1294	1	438
1294	2	390
1294	3	543
1294	4	665
1294	5	613
1294	6	312
1294	7	416
1294	8	535
1294	9	1027
1294	10	404
1295	1	413
1295	2	413
1295	3	534
1295	4	652
